OCC_CODE,OCC_TITLE,TOT_EMP_2016,perc_2016,TOT_EMP_2015,,TOT_EMP_2014,,TOT_EMP_2013,,TOT_EMP_2012,,A_MEAN_2016,A_MEAN_2015,A_MEAN_2014,A_MEAN_2013,A_MEAN_2012,A_MEDIAN_2016,A_MEDIAN_2015,A_MEDIAN_2014,A_MEDIAN_2013,A_MEDIAN_2012
Life physical and social science occupations,"Clinical, Counseling, and School Psychologists","107,980",9.37,"105,600",,"104,730",,"104,480",,"103,590",,78690,76040,74030,72710,72220,"73,270","70,580","68,900","67,760","67,650"
Life physical and social science occupations,Industrial-Organizational Psychologists,"1,020",0.09,990,,"1,110",,"1,040",,"1,030",,104570,92320,90070,87960,98800,"82,760","77,350","76,950","80,330","83,580"
Life physical and social science occupations,"Psychologists, All Other","13,310",1.15,"12,400",,"11,980",,"10,870",,"10,350",,94650,93050,89810,88400,86380,"95,710","94,590","92,110","91,140","90,020"
Life physical and social science occupations,Sociologists,"2,870",0.25,"2,620",,"2,240",,"2,690",,"2,340",,86840,82100,78810,78120,80820,"79,750","73,760","72,810","72,430","74,960"
Life physical and social science occupations,Urban and Regional Planners,"34,810",3.02,"35,480",,"35,820",,"35,940",,"37,620",,73060,70680,69010,67920,67950,"70,020","68,220","66,940","65,650","65,230"
Life physical and social science occupations,Anthropologists and Archeologists,"6,470",0.56,"6,980",,"7,040",,"6,560",,"6,060",,66440,64290,61980,61420,60230,"63,190","61,220","59,280","58,360","57,420"
Life physical and social science occupations,Geographers,"1,370",0.12,"1,280",,"1,260",,"1,480",,"1,510",,74090,74920,75610,75070,74020,"74,260","74,260","76,420","74,750","74,760"
Life physical and social science occupations,Historians,"2,950",0.26,"3,010",,"3,220",,"3,200",,"3,340",,60990,61120,61180,60010,58240,"55,110","55,800","55,870","55,180","52,480"
Life physical and social science occupations,Political Scientists,"6,350",0.55,"3,910",,"5,640",,"5,570",,"5,750",,112250,103210,104000,100900,104600,"114,290","99,730","104,920","100,920","102,000"
Life physical and social science occupations,"Social Scientists and Related Workers, All Other","36,380",3.16,"34,160",,"32,010",,"31,360",,"30,660",,80860,80650,80040,80450,79560,"77,020","76,380","75,630","76,770","76,540"
Life physical and social science occupations,Agricultural and Food Science Technicians,"20,420",1.77,"20,260",,"20,640",,"19,390",,"18,280",,40470,39000,37330,37010,36390,"37,550","36,480","35,140","34,790","34,070"
Life physical and social science occupations,Biological Technicians,"74,720",6.48,"72,900",,"72,640",,"71,590",,"72,740",,46130,45230,44610,43710,42600,"42,520","41,650","41,290","40,710","39,750"
Life physical and social science occupations,Chemical Technicians,"65,510",5.68,"64,770",,"63,760",,"63,880",,"61,300",,49770,48730,47390,46590,46130,"45,840","44,660","44,180","43,310","42,920"
Life physical and social science occupations,Geological and Petroleum Technicians,"15,100",1.31,"16,820",,"16,020",,"15,190",,"15,360",,62240,60710,58500,58780,59880,"56,470","55,610","54,810","53,410","52,700"
Life physical and social science occupations,Nuclear Technicians,"6,840",0.59,"6,500",,"6,380",,"6,930",,"8,040",,77820,78850,75960,73450,69720,"79,140","80,260","74,690","72,610","69,060"
Life physical and social science occupations,Social Science Research Assistants,"30,030",2.6,"28,060",,"27,780",,"26,830",,"26,370",,46820,45760,43070,41430,40760,"43,190","42,480","39,460","38,310","37,140"
Life physical and social science occupations,"Environmental Science and Protection Technicians, Including Health","32,950",2.86,"34,250",,"33,760",,"34,510",,"30,890",,47930,46540,45910,45470,44570,"44,190","43,030","42,190","41,700","41,240"
Life physical and social science occupations,Forensic Science Technicians,"14,800",1.28,"14,070",,"13,570",,"13,430",,"12,440",,60690,60090,58610,57340,55730,"56,750","56,320","55,360","54,360","52,840"
Life physical and social science occupations,Forest and Conservation Technicians,"30,090",2.61,"29,810",,"30,310",,"29,740",,"31,720",,38630,38260,37990,37720,37030,"35,560","35,430","35,260","34,910","33,920"
Life physical and social science occupations,"Life, Physical, and Social Science Technicians, All Other","68,540",5.95,"72,020",,"67,140",,"61,950",,"56,920",,49270,48360,47860,47150,46130,"46,040","45,300","44,650","44,200","43,130"
Community and social service occupations,Substance Abuse and Behavioral Disorder Counselors,"91,040",4.51,"87,090",,"85,180",,"83,120",,"80,130",,44160,42920,41870,41090,40920,"41,070","39,980","39,270","38,620","38,520"
Community and social service occupations,"Educational, Guidance, School, and Vocational Counselors","260,670",12.91,"253,460",,"246,280",,"241,870",,"237,480",,57620,56490,56040,56160,56170,"54,560","53,660","53,370","53,600","53,610"
Community and social service occupations,Marriage and Family Therapists,"36,960",1.83,"32,070",,"30,150",,"29,060",,"34,270",,54090,53520,51730,51690,49270,"49,170","48,600","48,040","48,160","46,670"
Community and social service occupations,Mental Health Counselors,"139,820",6.92,"128,200",,"120,010",,"115,580",,"115,080",,46050,45080,43990,43700,43290,"42,840","41,880","40,850","40,580","40,080"
Community and social service occupations,Rehabilitation Counselors,"103,030",5.1,"101,630",,"103,890",,"103,840",,"104,070",,38740,38040,37890,37660,37330,"34,670","34,390","34,380","34,230","33,880"
Community and social service occupations,"Counselors, All Other","28,380",1.41,"26,370",,"28,240",,"27,830",,"27,220",,47640,47950,47240,46330,46060,"44,350","45,530","44,830","43,620","43,810"
Community and social service occupations,"Child, Family, and School Social Workers","298,840",14.8,"294,080",,"286,520",,"276,760",,"273,920",,47510,46610,46180,46060,45300,"43,250","42,350","42,120","42,120","41,530"
Community and social service occupations,Healthcare Social Workers,"159,310",7.89,"155,590",,"145,920",,"141,830",,"140,000",,55510,54020,53590,52520,51460,"53,760","52,380","51,930","50,820","49,830"
Community and social service occupations,Mental Health and Substance Abuse Social Workers,"114,040",5.65,"110,070",,"109,460",,"110,010",,"109,920",,47880,47190,45820,44420,43340,"42,700","42,170","41,380","40,970","39,980"
Community and social service occupations,"Social Workers, All Other","59,540",2.95,"59,570",,"61,410",,"62,640",,"58,430",,59410,57970,58410,56060,54870,"60,230","58,560","59,100","56,510","54,560"
Community and social service occupations,Health Educators,"57,570",2.85,"57,570",,"57,020",,"56,720",,"55,270",,57900,56690,55260,53800,53100,"53,070","51,960","50,430","49,210","48,790"
Community and social service occupations,Probation Officers and Correctional Treatment Specialists,"87,500",4.33,"87,950",,"86,810",,"86,810",,"86,780",,55380,54080,53360,52910,52380,"50,160","49,360","49,060","48,440","48,190"
Community and social service occupations,Social and Human Service Assistants,"360,650",17.86,"359,350",,"354,800",,"355,500",,"351,400",,34120,33190,31860,31280,30880,"31,810","30,830","29,790","29,230","28,850"
Community and social service occupations,Community Health Workers,"51,900",2.57,"48,130",,"47,880",,"45,800",,"38,020",,41170,40150,38180,37640,37490,"37,330","36,300","34,870","34,610","34,620"
Community and social service occupations,"Community and Social Service Specialists, All Other","91,860",4.55,"94,670",,"93,710",,"92,830",,"99,680",,45540,44370,43740,42690,43660,"43,120","41,890","41,420","40,050","41,060"
Community and social service occupations,Clergy,"49,320",2.44,"48,250",,"46,510",,"45,020",,"44,000",,49450,48150,47730,47540,47880,"45,740","44,250","43,950","43,800","44,060"
Community and social service occupations,"Directors, Religious Activities and Education","20,590",1.02,"20,280",,"18,850",,"18,600",,"18,310",,44840,45160,44680,44240,42640,"38,610","38,780","38,480","38,160","37,280"
Community and social service occupations,"Religious Workers, All Other","8,250",0.41,"7,840",,"8,110",,"7,920",,"8,110",,34300,35160,34700,33520,30650,"28,820","28,750","29,620","28,750","26,380"
Legal occupations,Lawyers,"619,530",57.6,"609,930",,"603,310",,"592,670",,"581,920",,139880,136260,133470,131990,130880,"118,160","115,820","114,970","114,300","113,530"
Legal occupations,Judicial Law Clerks,"13,410",1.25,"12,660",,"11,660",,"10,890",,"11,200",,59840,59910,54350,53890,52610,"51,760","50,740","48,640","47,640","47,120"
Legal occupations,"Administrative Law Judges, Adjudicators, and Hearing Officers","14,540",1.35,"14,590",,"14,140",,"14,270",,"14,150",,95240,93140,91530,89630,89970,"92,110","90,600","87,980","87,190","87,240"
Legal occupations,"Arbitrators, Mediators, and Conciliators","6,300",0.59,"6,380",,"6,710",,"6,830",,"6,520",,72730,69060,70740,76840,77200,"59,770","58,020","57,180","60,450","61,280"
Legal occupations,"Judges, Magistrate Judges, and Magistrates","27,210",2.53,"29,020",,"28,090",,"27,190",,"27,220",,115460,116100,106420,105380,102470,"125,880","126,930","115,140","118,150","115,760"
Legal occupations,Paralegals and Legal Assistants,"277,310",25.78,"271,930",,"272,580",,"271,320",,"267,030",,53180,52390,51840,51170,50220,"49,500","48,810","48,350","47,570","46,990"
Legal occupations,Court Reporters,"17,700",1.65,"17,670",,"18,330",,"19,200",,"18,590",,56940,54720,55000,54760,53010,"51,320","49,500","49,860","49,560","48,160"
Legal occupations,"Title Examiners, Abstractors, and Searchers","54,560",5.07,"54,620",,"52,960",,"53,640",,"49,390",,51490,49840,48190,47340,46310,"45,800","44,370","43,080","42,830","41,970"
Legal occupations,"Legal Support Workers, All Other","44,960",4.18,"45,570",,"45,120",,"45,700",,"47,000",,66170,64530,63340,61560,60390,"54,650","53,920","53,740","52,560","52,660"
Education training and library occupations,"Business Teachers, Postsecondary","83,030",0.96,"84,890",,"85,030",,"85,220",,"82,460",,96770,92220,88740,89100,85730,"77,490","75,370","74,090","75,120","73,660"
Education training and library occupations,"Computer Science Teachers, Postsecondary","32,540",0.38,"33,760",,"35,410",,"35,770",,"34,350",,89670,84700,80730,80990,79870,"77,570","74,840","72,010","73,100","72,200"
Education training and library occupations,"Mathematical Science Teachers, Postsecondary","52,020",0.6,"53,850",,"54,010",,"53,970",,"53,530",,82650,77290,74200,74210,73190,"69,520","67,170","65,190","65,930","64,990"
Education training and library occupations,"Architecture Teachers, Postsecondary","7,370",0.09,"7,340",,"7,190",,"7,340",,"7,290",,92890,84880,84470,80180,78770,"79,250","73,920","73,720","72,550","71,610"
Education training and library occupations,"Engineering Teachers, Postsecondary","38,000",0.44,"37,270",,"36,650",,"34,870",,"33,970",,107490,104220,102000,102880,100100,"97,530","95,060","94,130","94,460","92,670"
Education training and library occupations,"Agricultural Sciences Teachers, Postsecondary","10,340",0.12,"9,680",,"9,890",,"10,120",,"10,500",,96630,95280,90100,86710,83990,"91,580","90,780","86,260","83,060","80,490"
Education training and library occupations,"Biological Science Teachers, Postsecondary","50,820",0.59,"51,640",,"52,750",,"50,230",,"50,040",,90420,86830,86200,87080,87060,"76,650","75,320","74,580","75,740","74,180"
Education training and library occupations,"Forestry and Conservation Science Teachers, Postsecondary","1,750",0.02,"1,660",,"1,850",,"2,140",,"2,490",,90480,91030,84810,82620,82020,"85,880","88,270","84,090","81,630","81,930"
Education training and library occupations,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","10,850",0.13,"10,890",,"10,890",,"10,690",,"10,930",,95900,92540,90340,90830,91930,"85,410","83,150","81,780","81,640","82,180"
Education training and library occupations,"Chemistry Teachers, Postsecondary","21,250",0.25,"21,460",,"21,470",,"20,820",,"20,430",,89320,86070,83360,83330,81460,"76,750","75,060","73,080","72,670","71,140"
Education training and library occupations,"Environmental Science Teachers, Postsecondary","5,520",0.06,"5,540",,"5,300",,"5,130",,"4,990",,88880,88570,86200,87450,86080,"78,340","78,770","77,470","78,490","77,320"
Education training and library occupations,"Physics Teachers, Postsecondary","14,160",0.16,"14,310",,"14,160",,"14,010",,"13,840",,97520,93950,90500,90570,88470,"84,570","82,840","80,720","80,590","78,540"
Education training and library occupations,"Anthropology and Archeology Teachers, Postsecondary","5,700",0.07,"6,000",,"6,100",,"5,920",,"5,690",,91940,85440,81410,83190,82860,"81,350","77,650","74,750","75,930","76,020"
Education training and library occupations,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","9,060",0.1,"9,240",,"9,150",,"9,700",,"9,710",,84590,81700,78120,77550,77690,"73,020","72,300","68,950","66,770","67,360"
Education training and library occupations,"Economics Teachers, Postsecondary","13,060",0.15,"13,580",,"13,710",,"13,600",,"13,390",,111520,106980,102120,100490,97770,"95,770","94,000","90,870","90,070","87,950"
Education training and library occupations,"Geography Teachers, Postsecondary","4,140",0.05,"4,350",,"4,440",,"4,400",,"4,460",,84660,79690,74690,73980,71890,"76,810","75,400","71,320","70,500","67,820"
Education training and library occupations,"Political Science Teachers, Postsecondary","16,720",0.19,"17,460",,"17,050",,"17,660",,"16,770",,94090,88680,82670,84110,81860,"79,210","76,370","73,790","73,760","72,170"
Education training and library occupations,"Psychology Teachers, Postsecondary","37,640",0.44,"38,380",,"37,930",,"40,380",,"38,060",,84440,79370,76390,76060,74240,"73,140","70,260","68,690","68,980","68,020"
Education training and library occupations,"Sociology Teachers, Postsecondary","14,580",0.17,"16,160",,"16,900",,"17,200",,"16,880",,81600,76750,74860,74470,73080,"71,840","69,230","67,880","67,940","66,150"
Education training and library occupations,"Social Sciences Teachers, Postsecondary, All Other","13,320",0.15,"11,250",,"11,030",,"11,080",,"10,430",,85950,79820,78690,79490,82570,"70,740","67,490","65,320","68,230","69,890"
Education training and library occupations,"Health Specialties Teachers, Postsecondary","186,740",2.16,"178,900",,"168,090",,"163,850",,"152,130",,125430,114510,112950,105880,100370,"99,360","90,840","90,210","85,030","81,140"
Education training and library occupations,"Nursing Instructors and Teachers, Postsecondary","56,210",0.65,"57,390",,"56,840",,"56,270",,"56,220",,75030,73150,70650,70200,68640,"69,130","67,480","66,100","65,940","64,850"
Education training and library occupations,"Education Teachers, Postsecondary","58,850",0.68,"60,260",,"59,980",,"63,190",,"62,920",,70260,68200,65180,65630,65000,"62,520","61,560","59,720","60,170","59,350"
Education training and library occupations,"Library Science Teachers, Postsecondary","4,870",0.06,"4,910",,"4,540",,"4,670",,"4,510",,72340,73030,72440,73260,70770,"68,410","67,660","66,580","67,740","65,780"
Education training and library occupations,"Criminal Justice and Law Enforcement Teachers, Postsecondary","14,620",0.17,"14,560",,"14,890",,"14,870",,"14,020",,67040,64460,61750,61850,62770,"59,590","58,770","57,200","56,980","58,040"
Education training and library occupations,"Law Teachers, Postsecondary","16,010",0.19,"16,430",,"15,990",,"15,600",,"15,260",,134530,126230,126270,122280,115550,"111,210","105,250","109,980","105,080","99,950"
Education training and library occupations,"Social Work Teachers, Postsecondary","11,860",0.14,"11,740",,"10,970",,"10,780",,"9,810",,74280,69030,67500,71380,70430,"64,030","63,390","62,440","64,280","63,250"
Education training and library occupations,"Art, Drama, and Music Teachers, Postsecondary","99,020",1.15,"98,310",,"97,500",,"92,930",,"92,570",,81050,76710,75350,72630,73340,"68,650","65,340","64,300","62,830","62,160"
Education training and library occupations,"Communications Teachers, Postsecondary","28,180",0.33,"29,050",,"29,470",,"29,920",,"30,030",,74360,70290,69230,69620,68540,"65,640","63,410","62,550","63,570","62,180"
Education training and library occupations,"English Language and Literature Teachers, Postsecondary","71,270",0.83,"75,730",,"76,320",,"75,320",,"72,680",,76140,71210,68390,68360,67980,"63,730","61,990","60,160","60,920","60,040"
Education training and library occupations,"Foreign Language and Literature Teachers, Postsecondary","28,720",0.33,"30,120",,"30,880",,"30,590",,"29,810",,73750,69520,67910,66300,66730,"63,500","61,380","59,490","58,620","58,670"
Education training and library occupations,"History Teachers, Postsecondary","21,800",0.25,"23,680",,"23,640",,"23,640",,"23,590",,80880,76670,73720,74100,73090,"71,820","69,400","66,840","66,790","65,870"
Education training and library occupations,"Philosophy and Religion Teachers, Postsecondary","23,180",0.27,"23,820",,"23,210",,"23,430",,"22,880",,77420,75140,71350,72200,71210,"68,360","66,380","63,630","65,540","64,990"
Education training and library occupations,Graduate Teaching Assistants,"135,130",1.56,"125,100",,"126,030",,"118,820",,"120,160",,35810,32510,32970,31810,33030,"34,240","30,810","31,570","29,950","31,270"
Education training and library occupations,"Home Economics Teachers, Postsecondary","2,970",0.03,"3,650",,"3,620",,"3,870",,"4,700",,72790,69090,68030,67110,68260,"69,190","64,950","63,390","62,740","64,040"
Education training and library occupations,"Recreation and Fitness Studies Teachers, Postsecondary","17,390",0.2,"17,980",,"18,650",,"18,820",,"19,410",,67870,66090,65220,63770,64490,"59,180","59,280","58,280","57,690","57,920"
Education training and library occupations,"Vocational Education Teachers, Postsecondary","116,430",1.35,"119,800",,"121,200",,"121,360",,"121,550",,55730,54260,53130,52680,52770,"50,660","49,470","48,360","48,300","47,990"
Education training and library occupations,"Postsecondary Teachers, All Other","194,870",2.26,"191,220",,"189,490",,"193,110",,"204,380",,73990,71060,74040,73140,77500,"64,400","63,000","62,330","60,670","64,290"
Education training and library occupations,"Preschool Teachers, Except Special Education","385,550",4.46,"370,190",,"352,420",,"352,730",,"340,350",,33300,32500,32040,31420,30750,"28,790","28,570","28,120","27,570","27,130"
Education training and library occupations,"Kindergarten Teachers, Except Special Education","151,290",1.75,"158,150",,"158,240",,"157,800",,"157,370",,55460,54510,53480,52840,53030,"52,620","51,640","50,600","50,230","50,120"
Education training and library occupations,"Elementary School Teachers, Except Special Education","1,392,660",16.13,"1,381,430",,"1,353,020",,"1,344,240",,"1,360,380",,59020,57730,56830,56320,56130,"55,800","54,890","54,120","53,590","53,400"
Education training and library occupations,"Middle School Teachers, Except Special and Career/Technical Education","626,310",7.25,"632,760",,"630,620",,"621,970",,"620,900",,59800,58760,57620,56630,56280,"56,720","55,860","54,940","53,940","53,430"
Education training and library occupations,"Career/Technical Education Teachers, Middle School","12,730",0.15,"13,090",,"14,000",,"18,150",,"18,510",,60350,58480,56970,56830,56270,"57,560","55,190","54,090","54,270","54,220"
Education training and library occupations,"Secondary School Teachers, Except Special and Career/Technical Education","1,003,250",11.62,"962,820",,"960,380",,"946,730",,"959,770",,61420,60440,59330,58260,57770,"58,030","57,200","56,310","55,360","55,050"
Education training and library occupations,"Career/Technical Education Teachers, Secondary School","80,100",0.93,"77,430",,"81,560",,"85,020",,"87,780",,59480,58170,57370,57200,57140,"57,320","56,130","55,200","55,120","55,160"
Education training and library occupations,"Special Education Teachers, Preschool","28,140",0.33,"29,230",,"24,080",,"24,420",,"21,770",,56990,58210,57860,55990,57770,"52,460","53,990","54,000","52,070","52,480"
Education training and library occupations,"Special Education Teachers, Kindergarten and Elementary School","190,530",2.21,"195,780",,"200,820",,"198,350",,"197,740",,60090,58640,57140,56690,56700,"57,040","55,810","54,570","53,910","53,820"
Education training and library occupations,"Special Education Teachers, Middle School","90,250",1.04,"91,050",,"94,820",,"96,770",,"96,380",,61910,60300,59590,59540,59320,"58,560","57,280","56,760","56,300","55,780"
Education training and library occupations,"Special Education Teachers, Secondary School","132,490",1.53,"129,770",,"135,520",,"133,490",,"133,080",,64020,62180,61350,60410,60090,"59,700","58,500","57,810","56,920","56,830"
Education training and library occupations,"Special Education Teachers, All Other","40,190",0.47,"38,410",,"39,620",,"44,750",,"39,260",,59450,57670,57820,54920,56160,"53,860","53,920","54,520","49,970","51,980"
Education training and library occupations,Adult Basic and Secondary Education and Literacy Teachers and Instructors,"58,810",0.68,"65,110",,"65,990",,"69,880",,"66,040",,55140,54060,52830,53850,52130,"50,650","50,280","49,590","51,110","48,590"
Education training and library occupations,Self-Enrichment Education Teachers,"229,840",2.66,"217,530",,"202,360",,"187,180",,"179,650",,43150,42350,41020,40680,40360,"37,330","36,680","36,020","35,500","35,320"
Education training and library occupations,"Teachers and Instructors, All Other, Except Substitute Teachers","292,950",3.39,"272,920",,"269,760",,"630,320",,"619,700",,47570,47410,47780,29350,29590,"39,570","40,140","41,390","25,830","25,930"
Education training and library occupations,Substitute Teachers,"609,960",7.06,"626,750",,"622,600",,"270,290",,"271,740",,30900,29630,29790,48750,49430,"28,010","26,830","26,200","42,970","43,400"
Education training and library occupations,Archivists,"5,760",0.07,"5,460",,"5,360",,"5,560",,"5,640",,54570,53880,52930,52670,50810,"50,500","50,250","49,120","49,110","47,340"
Education training and library occupations,Curators,"11,170",0.13,"11,870",,"11,200",,"10,910",,"10,370",,58910,56990,56690,55620,54600,"53,360","51,520","51,280","50,550","49,590"
Education training and library occupations,Museum Technicians and Conservators,"10,970",0.13,"10,750",,"9,950",,"9,860",,"10,430",,44780,44880,44320,44330,42920,"40,040","40,340","39,940","40,020","38,220"
Education training and library occupations,Librarians,"129,350",1.5,"131,550",,"133,150",,"136,510",,"140,280",,59870,58930,58110,57550,57190,"57,680","56,880","56,170","55,690","55,370"
Education training and library occupations,Library Technicians,"93,410",1.08,"94,170",,"94,260",,"95,980",,"100,230",,34780,34200,33490,33000,32320,"32,890","32,310","31,680","31,280","30,660"
Education training and library occupations,Audio-Visual and Multimedia Collections Specialists,"10,300",0.12,"10,170",,"8,960",,"8,840",,"8,690",,50130,48220,46390,46840,45820,"47,840","45,890","44,070","44,360","43,350"
Education training and library occupations,Farm and Home Management Advisors,"8,620",0.1,"8,760",,"8,900",,"9,120",,"11,060",,52150,51820,49000,49010,48730,"49,490","49,190","46,520","46,370","46,760"
Education training and library occupations,Instructional Coordinators,"147,330",1.71,"139,460",,"133,780",,"133,840",,"133,100",,65500,64870,64040,63070,62420,"62,460","62,270","61,550","60,610","60,050"
Education training and library occupations,Teacher Assistants,"1,263,820",14.63,"1,228,440",,"1,192,590",,"1,190,720",,"1,185,700",,27120,26550,26000,25570,25310,"25,410","24,900","24,430","24,000","23,640"
Education training and library occupations,"Education, Training, and Library Workers, All Other","100,640",1.17,"108,270",,"109,600",,"105,930",,"102,180",,46970,44380,42330,41190,41280,"42,600","40,380","37,890","36,700","36,610"
Arts design entertainment sports and media occupations,Art Directors,"36,210",1.9,"34,690",,"33,140",,"32,250",,"31,570",,101170,101990,97850,96650,94260,"89,820","89,760","85,610","83,000","80,880"
Arts design entertainment sports and media occupations,Craft Artists,"5,070",0.27,"5,270",,"4,760",,"4,750",,"4,810",,38900,35710,36300,36600,35240,"33,440","30,720","31,080","30,400","29,600"
Arts design entertainment sports and media occupations,"Fine Artists, Including Painters, Sculptors, and Illustrators","11,520",0.61,"12,240",,"12,100",,"11,980",,"12,480",,57410,54170,51120,50900,54000,"50,790","46,460","43,890","42,610","44,850"
Arts design entertainment sports and media occupations,Multimedia Artists and Animators,"29,810",1.57,"30,240",,"29,000",,"30,790",,"29,270",,72200,70300,69410,72400,69560,"65,300","63,970","63,630","64,470","61,370"
Arts design entertainment sports and media occupations,"Artists and Related Workers, All Other","7,010",0.37,"7,700",,"7,700",,"7,470",,"6,850",,64630,62130,61410,58460,61680,"61,360","58,450","58,250","53,720","59,840"
Arts design entertainment sports and media occupations,Commercial and Industrial Designers,"31,860",1.67,"31,330",,"29,410",,"28,540",,"29,030",,70880,69820,67030,64570,62430,"67,790","67,130","64,620","62,370","59,610"
Arts design entertainment sports and media occupations,Fashion Designers,"19,230",1.01,"19,040",,"17,840",,"17,370",,"16,560",,76480,73180,73690,73570,72620,"65,170","63,670","64,030","63,760","62,860"
Arts design entertainment sports and media occupations,Floral Designers,"43,990",2.31,"44,350",,"45,050",,"46,490",,"47,110",,27610,27010,26520,26100,25550,"25,850","25,010","24,750","24,220","23,810"
Arts design entertainment sports and media occupations,Graphic Designers,"210,710",11.07,"204,850",,"197,540",,"194,360",,"191,440",,52290,51640,50670,49610,48730,"47,640","46,900","45,900","44,830","44,150"
Arts design entertainment sports and media occupations,Interior Designers,"53,160",2.79,"51,050",,"45,010",,"43,710",,"40,750",,56220,55510,54850,54200,52970,"49,810","48,840","48,400","48,500","47,600"
Arts design entertainment sports and media occupations,Merchandise Displayers and Window Trimmers,"114,690",6.03,"100,540",,"93,000",,"72,590",,"73,490",,30090,29790,29530,29930,28860,"26,700","26,870","26,590","27,470","26,410"
Arts design entertainment sports and media occupations,Set and Exhibit Designers,"12,060",0.63,"11,930",,"10,460",,"9,750",,"8,680",,57600,54920,53150,53990,54310,"50,990","49,530","49,810","50,000","50,300"
Arts design entertainment sports and media occupations,"Designers, All Other","7,230",0.38,"6,590",,"6,890",,"7,330",,"7,560",,63270,62220,55360,52700,51080,"53,380","53,280","49,310","47,020","45,330"
Arts design entertainment sports and media occupations,Producers and Directors,"114,510",6.02,"104,650",,"97,300",,"92,510",,"87,010",,93840,89670,90300,90240,92390,"70,950","68,440","69,100","69,480","71,350"
Arts design entertainment sports and media occupations,Athletes and Sports Competitors,"10,260",0.54,"11,710",,"11,520",,"13,880",,"12,450",,83730,80490,78260,71850,75760,"47,710","44,680","43,350","39,050","40,060"
Arts design entertainment sports and media occupations,Coaches and Scouts,"230,930",12.14,"224,110",,"211,760",,"206,080",,"201,800",,41000,40050,39150,37610,36680,"31,460","31,000","30,640","29,150","28,360"
Arts design entertainment sports and media occupations,"Umpires, Referees, and Other Sports Officials","18,660",0.98,"18,620",,"17,510",,"16,140",,"15,570",,35540,33990,33400,33020,32600,"25,660","24,870","24,090","23,900","23,290"
Arts design entertainment sports and media occupations,Choreographers,"5,160",0.27,"5,130",,"6,030",,"6,300",,"7,400",,53610,51560,51390,49930,44930,"48,240","45,940","44,250","44,130","38,120"
Arts design entertainment sports and media occupations,Music Directors and Composers,"18,380",0.97,"21,540",,"21,880",,"23,190",,"24,940",,60630,59040,55230,54560,53420,"50,110","49,820","48,180","48,330","47,350"
Arts design entertainment sports and media occupations,Radio and Television Announcers,"29,210",1.53,"30,390",,"30,220",,"30,530",,"31,340",,48170,46410,44030,41800,41860,"31,400","30,960","29,790","29,020","28,020"
Arts design entertainment sports and media occupations,Public Address System and Other Announcers,"8,020",0.42,"8,000",,"7,450",,"7,480",,"8,120",,42740,40440,37850,38690,40070,"28,940","26,930","25,730","24,990","26,230"
Arts design entertainment sports and media occupations,Broadcast News Analysts,"5,070",0.27,"4,730",,"4,310",,"4,820",,"5,170",,78200,89240,84380,84710,78380,"56,680","65,530","61,450","60,470","55,380"
Arts design entertainment sports and media occupations,Reporters and Correspondents,"40,090",2.11,"41,050",,"42,280",,"43,630",,"45,570",,49770,46560,45800,44360,45120,"37,820","36,360","36,000","35,600","35,870"
Arts design entertainment sports and media occupations,Public Relations Specialists,"226,940",11.93,"218,910",,"208,030",,"202,530",,"201,280",,66540,65830,64050,63020,61980,"58,020","56,770","55,680","54,940","54,170"
Arts design entertainment sports and media occupations,Editors,"97,170",5.11,"96,690",,"97,350",,"98,790",,"99,040",,66080,64910,64140,62820,62440,"57,210","56,010","54,890","54,150","53,880"
Arts design entertainment sports and media occupations,Technical Writers,"49,780",2.62,"49,770",,"48,210",,"47,300",,"46,160",,73160,73350,71950,70290,67910,"69,850","70,240","69,030","67,900","65,500"
Arts design entertainment sports and media occupations,Writers and Authors,"44,690",2.35,"43,380",,"43,500",,"43,590",,"41,990",,71920,69130,67870,69250,68420,"61,240","60,250","58,850","57,750","55,940"
Arts design entertainment sports and media occupations,Interpreters and Translators,"51,350",2.7,"49,650",,"49,460",,"49,060",,"50,320",,51260,48360,49320,47920,53410,"46,120","44,190","43,590","42,420","45,430"
Arts design entertainment sports and media occupations,"Media and Communication Workers, All Other","23,310",1.22,"22,240",,"25,530",,"26,040",,"22,030",,50860,52200,51440,52910,52550,"43,600","45,220","45,860","45,200","45,160"
Arts design entertainment sports and media occupations,Audio and Video Equipment Technicians,"69,670",3.66,"62,460",,"60,200",,"56,440",,"54,310",,47450,46630,46040,45830,46040,"42,230","41,440","41,780","41,250","41,850"
Arts design entertainment sports and media occupations,Broadcast Technicians,"30,330",1.59,"28,270",,"26,600",,"27,800",,"31,640",,45430,44050,42310,41630,44050,"38,550","37,490","36,560","36,710","37,880"
Arts design entertainment sports and media occupations,Radio Operators,870,0.05,940,,"1,100",,"1,160",,"1,280",,46780,47200,45740,45210,43240,"46,250","50,040","46,380","44,620","42,080"
Arts design entertainment sports and media occupations,Sound Engineering Technicians,"15,210",0.8,"13,840",,"13,750",,"13,480",,"14,280",,65240,63340,58670,56610,55340,"53,680","53,330","49,870","46,480","46,310"
Arts design entertainment sports and media occupations,Photographers,"48,660",2.56,"50,070",,"52,250",,"54,830",,"56,140",,42640,40280,38350,37190,36330,"34,070","31,710","30,490","29,280","28,490"
