OCC_CODE,OCC_TITLE,TOT_EMP_2016,perc_2016,TOT_EMP_2015,,TOT_EMP_2014,,TOT_EMP_2013,,TOT_EMP_2012,,A_MEAN_2016,A_MEAN_2015,A_MEAN_2014,A_MEAN_2013,A_MEAN_2012,A_MEDIAN_2016,A_MEDIAN_2015,A_MEDIAN_2014,A_MEDIAN_2013,A_MEDIAN_2012
Business and financial operations occupations,"Agents and Business Managers of Artists, Performers, and Athletes","13,470",0.18,"13,230",,"11,860",,"11,680",,"11,770",,86560,95810,97220,96410,88620,"62,080","62,940","64,200","64,490","63,370"
Business and financial operations occupations,"Buyers and Purchasing Agents, Farm Products","11,490",0.16,"12,160",,"11,250",,"11,290",,"10,370",,63910,62280,60350,60470,59770,"58,430","56,270","55,080","55,450","55,720"
Business and financial operations occupations,"Wholesale and Retail Buyers, Except Farm Products","109,440",1.5,"111,200",,"110,560",,"112,290",,"108,670",,60040,59270,58190,58210,57420,"53,340","52,940","52,270","52,370","51,470"
Business and financial operations occupations,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","297,600",4.09,"291,540",,"288,430",,"284,480",,"280,950",,67420,66120,64730,63420,62310,"63,300","62,220","60,980","59,780","58,760"
Business and financial operations occupations,"Claims Adjusters, Examiners, and Investigators","274,420",3.77,"271,600",,"266,280",,"275,500",,"263,280",,64990,64300,63500,62340,61530,"63,680","62,980","62,220","61,190","59,960"
Business and financial operations occupations,"Insurance Appraisers, Auto Damage","15,130",0.21,"15,270",,"13,690",,"13,180",,"11,770",,65930,65300,64750,63100,60230,"63,510","64,020","63,420","61,660","58,610"
Business and financial operations occupations,Compliance Officers,"273,910",3.76,"257,010",,"246,970",,"236,090",,"227,500",,70250,69180,68000,66770,64960,"66,540","65,640","64,950","64,340","62,020"
Business and financial operations occupations,Cost Estimators,"214,610",2.95,"216,270",,"209,130",,"202,600",,"195,230",,66620,64810,64340,63660,63080,"61,790","60,390","60,050","59,460","58,860"
Business and financial operations occupations,Human Resources Specialists,"524,800",7.21,"491,090",,"456,170",,"426,570",,"394,380",,64890,63710,62590,61560,60660,"59,180","58,350","57,420","56,630","55,800"
Business and financial operations occupations,Farm Labor Contractors,810,0.01,"1,230",,950,,"1,210",,"1,030",,47290,43920,47790,42920,38590,"35,160","30,910","41,110","35,430","30,660"
Business and financial operations occupations,Labor Relations Specialists,"79,430",1.09,"79,330",,"79,780",,"76,160",,"75,930",,64250,60930,59410,56590,56210,"62,310","58,820","56,950","54,630","54,660"
Business and financial operations occupations,Logisticians,"146,060",2.01,"133,770",,"125,670",,"120,340",,"119,560",,77810,77470,76830,76330,75670,"74,170","74,260","73,870","73,400","72,780"
Business and financial operations occupations,Management Analysts,"637,690",8.76,"614,110",,"587,450",,"567,840",,"540,440",,91910,91770,90860,89990,88070,"81,330","81,320","80,880","79,870","78,600"
Business and financial operations occupations,"Meeting, Convention, and Event Planners","95,850",1.32,"87,400",,"77,940",,"73,290",,"70,480",,52020,51200,50910,50190,49830,"47,350","46,840","46,490","46,260","45,810"
Business and financial operations occupations,Fundraisers,"68,910",0.95,"62,720",,"55,230",,"50,530",,"48,530",,57930,57170,56840,56270,55220,"54,130","52,970","52,430","51,580","50,680"
Business and financial operations occupations,"Compensation, Benefits, and Job Analysis Specialists","79,190",1.09,"79,780",,"80,970",,"81,520",,"85,620",,66490,65100,64380,63310,62200,"62,080","60,850","60,600","59,820","59,090"
Business and financial operations occupations,Training and Development Specialists,"269,710",3.7,"254,060",,"239,500",,"224,110",,"217,930",,63350,62460,61530,60780,59560,"59,020","58,210","57,340","56,850","55,930"
Business and financial operations occupations,Market Research Analysts and Marketing Specialists,"558,630",7.67,"506,420",,"468,160",,"430,350",,"392,740",,70620,70030,68700,67780,67380,"62,560","62,150","61,290","60,800","60,300"
Business and financial operations occupations,"Business Operations Specialists, All Other","958,670",13.17,"926,610",,"934,370",,"938,480",,"931,010",,74870,73480,73000,71590,70520,"69,040","68,170","67,280","66,090","65,120"
Business and financial operations occupations,Accountants and Auditors,"1,246,540",17.12,"1,226,910",,"1,187,310",,"1,168,330",,"1,129,340",,76730,75280,73670,72500,71040,"68,150","67,190","65,940","65,080","63,550"
Business and financial operations occupations,Appraisers and Assessors of Real Estate,"60,770",0.83,"60,290",,"63,220",,"60,210",,"59,530",,58030,58400,58010,57040,55180,"51,850","51,860","52,570","51,030","49,540"
Business and financial operations occupations,Budget Analysts,"54,700",0.75,"56,300",,"57,120",,"58,740",,"58,280",,77170,75150,73940,72560,72100,"73,840","71,590","71,220","70,110","69,280"
