title,code,Less than high school diploma,High school or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree,A_MEAN_2016
Agricultural equipment operators,Farming fishing and forestry occupations,55.6,25.7,9.4,3.3,5.1,0.8,0.2,30430
"Farmworkers and laborers, crop, nursery, and greenhouse",Farming fishing and forestry occupations,55.6,25.7,9.4,3.3,5.1,0.8,0.2,23820
"Farmworkers, farm, ranch, and aquacultural animals",Farming fishing and forestry occupations,55.6,25.7,9.4,3.3,5.1,0.8,0.2,26840
"Agricultural workers, all other",Farming fishing and forestry occupations,55.6,25.7,9.4,3.3,5.1,0.8,0.2,35120
Fishers and hunting workers,Farming fishing and forestry occupations,24.2,46.9,15.5,4.1,8.2,1.2,0.1,30740
Forest and conservation workers,Farming fishing and forestry occupations,19.1,20.9,23,12.1,20,4.4,0.5,31200
Fallers,Farming fishing and forestry occupations,31.6,48,11.9,3.7,3.3,1.5,0,42900
Logging equipment operators,Farming fishing and forestry occupations,31.6,48,11.9,3.7,3.3,1.5,0,38880
Log graders and scalers,Farming fishing and forestry occupations,31.6,48,11.9,3.7,3.3,1.5,0,38150
"Logging workers, all other",Farming fishing and forestry occupations,31.6,48,11.9,3.7,3.3,1.5,0,40560
First-line supervisors of construction trades and extraction workers,Construction and extraction occupations,14.8,41.5,24.7,7.7,9.5,1.6,0.3,68040
Boilermakers,Construction and extraction occupations,15.5,46.7,23.1,12.7,2,0,0,62200
Brickmasons and blockmasons,Construction and extraction occupations,35.6,43.4,14.6,3.1,2.5,0.6,0.3,53440
Stonemasons,Construction and extraction occupations,35.6,43.4,14.6,3.1,2.5,0.6,0.3,43650
Carpenters,Construction and extraction occupations,25.9,42.6,19.6,5.3,5.6,0.8,0.2,48340
Carpet installers,Construction and extraction occupations,36.6,41.5,14.5,4,2.9,0.4,0,44310
"Floor layers, except carpet, wood, and hard tiles",Construction and extraction occupations,36.6,41.5,14.5,4,2.9,0.4,0,42370
Floor sanders and finishers,Construction and extraction occupations,36.6,41.5,14.5,4,2.9,0.4,0,38890
Tile and marble setters,Construction and extraction occupations,36.6,41.5,14.5,4,2.9,0.4,0,44770
Cement masons and concrete finishers,Construction and extraction occupations,38.9,40.9,15.1,1.3,3.2,0.5,0.2,43720
Terrazzo workers and finishers,Construction and extraction occupations,38.9,40.9,15.1,1.3,3.2,0.5,0.2,45990
Construction laborers,Construction and extraction occupations,34.5,39.6,16.1,4.1,4.8,0.7,0.2,37890
"Paving, surfacing, and tamping equipment operators",Construction and extraction occupations,37.1,47.5,11.9,2.1,0.9,0,0.6,43800
Pile-driver operators,Construction and extraction occupations,20.3,50.9,20.8,4.9,2.8,0.2,0.1,61740
Operating engineers and other construction equipment operators,Construction and extraction occupations,20.3,50.9,20.8,4.9,2.8,0.2,0.1,50560
Drywall and ceiling tile installers,Construction and extraction occupations,44.8,39.9,11.1,2.1,1.9,0.3,0,47400
Tapers,Construction and extraction occupations,44.8,39.9,11.1,2.1,1.9,0.3,0,53790
Electricians,Construction and extraction occupations,7.7,37.3,32.1,15.2,6.7,0.9,0.2,56650
Glaziers,Construction and extraction occupations,21,47.9,22.1,4.6,3.2,1.1,0.1,47260
"Insulation workers, floor, ceiling, and wall",Construction and extraction occupations,29,45.7,15.7,7.3,1.9,0.3,0.1,39490
"Insulation workers, mechanical",Construction and extraction occupations,29,45.7,15.7,7.3,1.9,0.3,0.1,51100
"Painters, construction and maintenance",Construction and extraction occupations,35,39.2,15.6,4.2,4.8,0.9,0.2,41510
Paperhangers,Construction and extraction occupations,35,39.2,15.6,4.2,4.8,0.9,0.2,36470
Pipelayers,Construction and extraction occupations,16.5,46.5,24.6,7.3,4.4,0.5,0.2,42860
"Plumbers, pipefitters, and steamfitters",Construction and extraction occupations,16.5,46.5,24.6,7.3,4.4,0.5,0.2,56030
Plasterers and stucco masons,Construction and extraction occupations,46.3,39.4,10.1,1.7,2.3,0.1,0.1,44070
Reinforcing iron and rebar workers,Construction and extraction occupations,35.6,43.4,14.6,3.1,2.5,0.6,0.3,53600
Roofers,Construction and extraction occupations,46.8,36.7,11.4,1.7,3,0.3,0.1,42080
Sheet metal workers,Construction and extraction occupations,14,48.8,24.6,8,4,0.4,0.1,51080
Structural iron and steel workers,Construction and extraction occupations,14.1,46.5,26.7,7.9,4.2,0.5,0.1,56040
Solar photovoltaic installers,Construction and extraction occupations,22.3,39.1,23.5,7.1,6.7,1.1,0.2,42500
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",Construction and extraction occupations,29.7,43.8,17.1,4.4,5,0.1,0,33610
Helpers--carpenters,Construction and extraction occupations,29.7,43.8,17.1,4.4,5,0.1,0,30200
Helpers--electricians,Construction and extraction occupations,29.7,43.8,17.1,4.4,5,0.1,0,30980
"Helpers--painters, paperhangers, plasterers, and stucco masons",Construction and extraction occupations,29.7,43.8,17.1,4.4,5,0.1,0,28760
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",Construction and extraction occupations,29.7,43.8,17.1,4.4,5,0.1,0,30640
Helpers--roofers,Construction and extraction occupations,29.7,43.8,17.1,4.4,5,0.1,0,28890
"Helpers, construction trades, all other",Construction and extraction occupations,29.7,43.8,17.1,4.4,5,0.1,0,31450
Construction and building inspectors,Construction and extraction occupations,1.6,24.4,31.3,14.6,21.6,5.8,0.9,61250
Elevator installers and repairers,Construction and extraction occupations,3.8,48.2,31.4,10.9,4.8,0.6,0.3,76860
Fence erectors,Construction and extraction occupations,45,33.1,15.7,2.9,2.5,0.5,0.4,36380
Hazardous materials removal workers,Construction and extraction occupations,18.5,36.9,20.5,9.7,11.2,2.9,0.3,45500
Highway maintenance workers,Construction and extraction occupations,12.1,56.8,21.3,6.2,3.2,0.4,0,39540
Rail-track laying and maintenance equipment operators,Construction and extraction occupations,10.6,53.6,27.1,5,3.7,0,0,52810
Septic tank servicers and sewer pipe cleaners,Construction and extraction occupations,22.3,39.1,23.5,7.1,6.7,1.1,0.2,38870
Segmental pavers,Construction and extraction occupations,22.3,39.1,23.5,7.1,6.7,1.1,0.2,34160
"Construction and related workers, all other",Construction and extraction occupations,22.3,39.1,23.5,7.1,6.7,1.1,0.2,40480
"Derrick operators, oil and gas",Construction and extraction occupations,20.3,47.4,22.6,3.8,5.1,0.8,0,51140
"Rotary drill operators, oil and gas",Construction and extraction occupations,20.3,47.4,22.6,3.8,5.1,0.8,0,57140
"Service unit operators, oil, gas, and mining",Construction and extraction occupations,20.3,47.4,22.6,3.8,5.1,0.8,0,53520
"Earth drillers, except oil and gas",Construction and extraction occupations,18.6,50.8,20.2,4.4,5.4,0.6,0,51240
"Explosives workers, ordnance handling experts, and blasters",Construction and extraction occupations,11.1,36.9,27.3,8.1,15.9,0.6,0,54580
Continuous mining machine operators,Construction and extraction occupations,14.8,51.9,24.1,4.4,4.1,0.7,0,52650
Mine cutting and channeling machine operators,Construction and extraction occupations,14.8,51.9,24.1,4.4,4.1,0.7,0,50670
"Mining machine operators, all other",Construction and extraction occupations,14.8,51.9,24.1,4.4,4.1,0.7,0,50220
"Rock splitters, quarry",Construction and extraction occupations,16.8,47.2,23.5,4.8,7.2,0.2,0.3,34860
"Roof bolters, mining",Construction and extraction occupations,16.8,47.2,23.5,4.8,7.2,0.2,0.3,58110
"Roustabouts, oil and gas",Construction and extraction occupations,20.3,47.4,22.6,3.8,5.1,0.8,0,40480
Helpers--extraction workers,Construction and extraction occupations,16.8,47.2,23.5,4.8,7.2,0.2,0.3,37160
"Extraction workers, all other",Construction and extraction occupations,16.8,47.2,23.5,4.8,7.2,0.2,0.3,51170
"First-line supervisors of mechanics, installers, and repairers",Installation maintenance and repair occupations,7.8,34.2,30.4,13.4,11.7,2.2,0.3,66730
"Computer, automated teller, and office machine repairers",Installation maintenance and repair occupations,2,16.7,33.2,20.5,23.1,3.6,0.9,39410
"Radio, cellular, and tower equipment installers and repairs",Installation maintenance and repair occupations,4,28.4,35.5,16.5,13.9,1.3,0.3,53620
"Telecommunications equipment installers and repairers, except line installers",Installation maintenance and repair occupations,4,28.4,35.5,16.5,13.9,1.3,0.3,54520
Avionics technicians,Installation maintenance and repair occupations,1.6,16.5,34.5,31.2,13.7,1.4,1.1,61390
"Electric motor, power tool, and related repairers",Installation maintenance and repair occupations,7.5,38,29.7,16.3,7.1,1.3,0.1,44720
"Electrical and electronics installers and repairers, transportation equipment",Installation maintenance and repair occupations,2.8,28.6,30.4,21.4,14.5,2.3,0,59840
"Electrical and electronics repairers, commercial and industrial equipment",Installation maintenance and repair occupations,2.8,28.6,30.4,21.4,14.5,2.3,0,56990
"Electrical and electronics repairers, powerhouse, substation, and relay",Installation maintenance and repair occupations,2.8,28.6,30.4,21.4,14.5,2.3,0,74540
"Electronic equipment installers and repairers, motor vehicles",Installation maintenance and repair occupations,4.8,35.4,35.3,15.3,8.1,0.4,0.6,34200
Electronic home entertainment equipment installers and repairers,Installation maintenance and repair occupations,8.3,33.8,31.9,12.4,11.7,1.4,0.6,39340
Security and fire alarm systems installers,Installation maintenance and repair occupations,8.6,39.5,29.7,12.4,8.5,1,0.4,45660
Aircraft mechanics and service technicians,Installation maintenance and repair occupations,2.3,23.9,39.6,22.2,10.5,1.3,0.2,61190
Automotive body and related repairers,Installation maintenance and repair occupations,22.6,49.5,17.6,7.5,2.7,0.1,0.1,45180
Automotive glass installers and repairers,Installation maintenance and repair occupations,14.2,55.4,24.5,3.3,1.2,1.5,0,36140
Automotive service technicians and mechanics,Installation maintenance and repair occupations,17.3,44.7,22.2,11.6,3.6,0.4,0.2,41400
Bus and truck mechanics and diesel engine specialists,Installation maintenance and repair occupations,13.1,46,24.2,12.9,2.9,0.6,0.2,46710
Farm equipment mechanics and service technicians,Installation maintenance and repair occupations,13.1,44.7,25.4,12,3.7,0.6,0.3,39310
"Mobile heavy equipment mechanics, except engines",Installation maintenance and repair occupations,13.1,44.7,25.4,12,3.7,0.6,0.3,50810
Rail car repairers,Installation maintenance and repair occupations,13.1,44.7,25.4,12,3.7,0.6,0.3,53590
Motorboat mechanics and service technicians,Installation maintenance and repair occupations,18.1,40.7,25.2,10.5,4.2,1.1,0.2,40860
Motorcycle mechanics,Installation maintenance and repair occupations,18.1,40.7,25.2,10.5,4.2,1.1,0.2,37040
Outdoor power equipment and other small engine mechanics,Installation maintenance and repair occupations,18.1,40.7,25.2,10.5,4.2,1.1,0.2,35320
Bicycle repairers,Installation maintenance and repair occupations,24.9,43,20.3,5.4,5.4,0.8,0.1,28520
Recreational vehicle service technicians,Installation maintenance and repair occupations,24.9,43,20.3,5.4,5.4,0.8,0.1,38040
Tire repairers and changers,Installation maintenance and repair occupations,24.9,43,20.3,5.4,5.4,0.8,0.1,27150
Mechanical door repairers,Installation maintenance and repair occupations,6.1,45,33.3,10.5,4.5,0.5,0,40420
"Control and valve installers and repairers, except mechanical door",Installation maintenance and repair occupations,6.1,45,33.3,10.5,4.5,0.5,0,56180
"Heating, air conditioning, and refrigeration mechanics and installers",Installation maintenance and repair occupations,10.7,40.9,28.4,13.8,5.1,0.8,0.3,48320
Home appliance repairers,Installation maintenance and repair occupations,11.9,38.4,31.3,11.8,5.3,1,0.2,40390
Industrial machinery mechanics,Installation maintenance and repair occupations,10.4,41.8,28,13.4,5.6,0.7,0.1,51890
"Maintenance workers, machinery",Installation maintenance and repair occupations,10.2,46.8,26.7,11.9,3.6,0.9,0,46000
Millwrights,Installation maintenance and repair occupations,9.7,44.3,31.2,11.4,3,0.5,0,53950
"Refractory materials repairers, except brickmasons",Installation maintenance and repair occupations,10.4,41.8,28,13.4,5.6,0.7,0.1,47000
Electrical power-line installers and repairers,Installation maintenance and repair occupations,5.7,39.4,32.2,15.7,6,0.9,0.1,67160
Telecommunications line installers and repairers,Installation maintenance and repair occupations,6.8,36.9,33.2,13.6,8.2,1.1,0.2,54700
Camera and photographic equipment repairers,Installation maintenance and repair occupations,3.9,23.3,28.7,20.7,18.6,3.9,0.9,43920
Medical equipment repairers,Installation maintenance and repair occupations,3.9,23.3,28.7,20.7,18.6,3.9,0.9,50910
Musical instrument repairers and tuners,Installation maintenance and repair occupations,3.9,23.3,28.7,20.7,18.6,3.9,0.9,37690
Watch repairers,Installation maintenance and repair occupations,3.9,23.3,28.7,20.7,18.6,3.9,0.9,39720
"Precision instrument and equipment repairers, all other",Installation maintenance and repair occupations,3.9,23.3,28.7,20.7,18.6,3.9,0.9,56570
"Maintenance and repair workers, general",Installation maintenance and repair occupations,13.3,41.5,26.8,11.1,6.3,0.8,0.2,39360
Wind turbine service technicians,Installation maintenance and repair occupations,13,39.9,26.6,10.3,8.2,1.7,0.2,54360
"Coin, vending, and amusement machine servicers and repairers",Installation maintenance and repair occupations,8.4,42.6,27.5,10.6,8.6,2.2,0.2,34860
Commercial divers,Installation maintenance and repair occupations,13,39.9,26.6,10.3,8.2,1.7,0.2,53990
"Fabric menders, except garment",Installation maintenance and repair occupations,13,39.9,26.6,10.3,8.2,1.7,0.2,27670
Locksmiths and safe repairers,Installation maintenance and repair occupations,9.2,46.6,29.1,8.4,4.9,1.2,0.5,42180
Manufactured building and mobile home installers,Installation maintenance and repair occupations,13,39.9,26.6,10.3,8.2,1.7,0.2,31030
Riggers,Installation maintenance and repair occupations,11.7,53.7,18.7,10.6,4.9,0.4,0,49030
Signal and track switch repairers,Installation maintenance and repair occupations,13,39.9,26.6,10.3,8.2,1.7,0.2,62710
"Helpers--installation, maintenance, and repair workers",Installation maintenance and repair occupations,30,39.7,14.5,7.5,7,1.3,0,29370
"Installation, maintenance, and repair workers, all other",Installation maintenance and repair occupations,13,39.9,26.6,10.3,8.2,1.7,0.2,41810
First-line supervisors of production and operating workers,Production occupations,10.2,37.9,26.1,8.7,13.3,3.1,0.7,61450
"Aircraft structure, surfaces, rigging, and systems assemblers",Production occupations,13.6,46.2,28.2,6.6,5.5,0,0,52530
"Coil winders, tapers, and finishers",Production occupations,18.7,44.7,21.8,8.3,5.4,0.7,0.4,35340
Electrical and electronic equipment assemblers,Production occupations,18.7,44.7,21.8,8.3,5.4,0.7,0.4,33700
Electromechanical equipment assemblers,Production occupations,18.7,44.7,21.8,8.3,5.4,0.7,0.4,35410
Engine and other machine assemblers,Production occupations,12.8,48.1,23.4,6.9,8.9,0,0,43090
Structural metal fabricators and fitters,Production occupations,11.9,49.3,25.5,7.5,5.3,0.1,0.4,40000
Fiberglass laminators and fabricators,Production occupations,17.5,46.8,22.5,6.5,5.7,0.8,0.2,33020
Team assemblers,Production occupations,17.5,46.8,22.5,6.5,5.7,0.8,0.2,32550
Timing device assemblers and adjusters,Production occupations,17.5,46.8,22.5,6.5,5.7,0.8,0.2,42470
"Assemblers and fabricators, all other",Production occupations,17.5,46.8,22.5,6.5,5.7,0.8,0.2,31050
Bakers,Production occupations,21.3,39.2,20.8,8.4,9,0.8,0.4,27110
Butchers and meat cutters,Production occupations,34,39.7,17.7,4.4,3.5,0.5,0.1,31740
"Meat, poultry, and fish cutters and trimmers",Production occupations,34,39.7,17.7,4.4,3.5,0.5,0.1,25510
Slaughterers and meat packers,Production occupations,34,39.7,17.7,4.4,3.5,0.5,0.1,27040
"Food and tobacco roasting, baking, and drying machine operators and tenders",Production occupations,22,41.5,18.3,5.1,12.4,0.2,0.5,30970
Food batchmakers,Production occupations,21.2,43.4,17.7,9.2,7.3,1,0.2,30130
Food cooking machine operators and tenders,Production occupations,27.9,40.4,18.5,6.6,6.6,0,0,30330
"Food processing workers, all other",Production occupations,30.1,42.3,18.3,4.2,4,0.7,0.5,25800
"Computer-controlled machine tool operators, metal and plastic",Production occupations,6.8,40.5,33.8,11.5,6.1,1,0.4,39590
"Computer numerically controlled machine tool programmers, metal and plastic",Production occupations,6.8,40.5,33.8,11.5,6.1,1,0.4,53560
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",Production occupations,8.5,49.9,30.4,6.4,4.1,0.7,0,35340
"Forging machine setters, operators, and tenders, metal and plastic",Production occupations,18.4,57.5,15.4,2,6.7,0,0,38710
"Rolling machine setters, operators, and tenders, metal and plastic",Production occupations,12.5,50,28.8,4,2.7,2.1,0,41900
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",Production occupations,22.6,49.7,19,4.5,3.8,0.5,0,34210
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",Production occupations,22.6,49.7,19,4.5,3.8,0.5,0,38880
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",Production occupations,22.6,49.7,19,4.5,3.8,0.5,0,34920
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",Production occupations,22.6,49.7,19,4.5,3.8,0.5,0,39630
"Milling and planing machine setters, operators, and tenders, metal and plastic",Production occupations,22.6,49.7,19,4.5,3.8,0.5,0,41180
Machinists,Production occupations,10.8,44.1,28.6,11.8,4.4,0.3,0.1,43220
Metal-refining furnace operators and tenders,Production occupations,14.1,56.1,20.5,6.1,2.8,0.2,0.1,41840
"Pourers and casters, metal",Production occupations,14.1,56.1,20.5,6.1,2.8,0.2,0.1,37300
"Model makers, metal and plastic",Production occupations,16.8,48.1,21.8,7.4,5.6,0.3,0,50360
"Patternmakers, metal and plastic",Production occupations,16.8,48.1,21.8,7.4,5.6,0.3,0,44490
Foundry mold and coremakers,Production occupations,16.8,48.1,21.8,7.4,5.6,0.3,0,36030
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",Production occupations,16.8,48.1,21.8,7.4,5.6,0.3,0,32660
"Multiple machine tool setters, operators, and tenders, metal and plastic",Production occupations,19.6,47.2,22.4,6.1,3.9,0.6,0.2,36190
Tool and die makers,Production occupations,6.9,41.6,30.9,17.3,3.1,0.2,0,51610
"Welders, cutters, solderers, and brazers",Production occupations,19.8,46.8,22.8,7.8,2.4,0.3,0.1,42450
"Welding, soldering, and brazing machine setters, operators, and tenders",Production occupations,19.8,46.8,22.8,7.8,2.4,0.3,0.1,38380
"Heat treating equipment setters, operators, and tenders, metal and plastic",Production occupations,19.6,47.2,22.4,6.1,3.9,0.6,0.2,39010
"Layout workers, metal and plastic",Production occupations,19.6,47.2,22.4,6.1,3.9,0.6,0.2,47720
"Plating and coating machine setters, operators, and tenders, metal and plastic",Production occupations,19.6,47.2,22.4,6.1,3.9,0.6,0.2,33690
"Tool grinders, filers, and sharpeners",Production occupations,19.6,47.2,22.4,6.1,3.9,0.6,0.2,38860
"Metal workers and plastic workers, all other",Production occupations,19.6,47.2,22.4,6.1,3.9,0.6,0.2,35780
Prepress technicians and workers,Production occupations,11.5,30.4,26.4,13.3,14.9,2.9,0.6,40640
Printing press operators,Production occupations,11.3,46.8,25.2,7.4,8.5,0.7,0.2,37460
Print binding and finishing workers,Production occupations,12,48.1,22.3,9.9,6.7,0.8,0.2,33270
Laundry and dry-cleaning workers,Production occupations,35.2,41.6,14.2,3.8,4.2,0.9,0.1,23210
"Pressers, textile, garment, and related materials",Production occupations,47.3,35.6,10.6,2.2,3.8,0.1,0.5,22270
Sewing machine operators,Production occupations,40.1,36.1,13.7,4.2,4.8,0.8,0.1,25830
Shoe and leather workers and repairers,Production occupations,24.3,43.8,18.2,3,6,3.7,1.1,26040
Shoe machine operators and tenders,Production occupations,24.3,43.8,18.2,3,6,3.7,1.1,26530
"Sewers, hand",Production occupations,25.7,29.7,21.3,8.1,12.4,2.2,0.5,25630
"Tailors, dressmakers, and custom sewers",Production occupations,25.7,29.7,21.3,8.1,12.4,2.2,0.5,30670
Textile bleaching and dyeing machine operators and tenders,Production occupations,27.5,50.5,11.9,1.9,7.5,0.7,0,28480
"Textile cutting machine setters, operators, and tenders",Production occupations,27.5,50.5,11.9,1.9,7.5,0.7,0,27860
"Textile knitting and weaving machine setters, operators, and tenders",Production occupations,29.5,44.3,10.3,5.9,5.1,3.7,1.2,28380
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",Production occupations,36.6,44.8,12.7,3.6,1.6,0.2,0.5,28110
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",Production occupations,28.8,35,18.2,5.8,11.4,0.8,0,35420
Fabric and apparel patternmakers,Production occupations,28.8,35,18.2,5.8,11.4,0.8,0,48460
Upholsterers,Production occupations,29.7,44.3,15,7.2,2.5,1.2,0.1,34640
"Textile, apparel, and furnishings workers, all other",Production occupations,28.8,35,18.2,5.8,11.4,0.8,0,30830
Cabinetmakers and bench carpenters,Production occupations,19.3,46.5,18,7.3,7.3,1.5,0,34800
Furniture finishers,Production occupations,23.1,36,16.7,9.7,11.9,2.7,0,32330
"Model makers, wood",Production occupations,15.1,40.5,21.4,8.4,11.1,2.9,0.6,47480
"Patternmakers, wood",Production occupations,15.1,40.5,21.4,8.4,11.1,2.9,0.6,47850
"Sawing machine setters, operators, and tenders, wood",Production occupations,30.3,47,14.1,4.6,3.7,0.2,0.2,29960
"Woodworking machine setters, operators, and tenders, except sawing",Production occupations,26.5,51.6,12.9,3.7,4.4,0.8,0,29850
"Woodworkers, all other",Production occupations,15.1,40.5,21.4,8.4,11.1,2.9,0.6,31780
Nuclear power reactor operators,Production occupations,1.1,28.2,32.6,18.2,17.3,2.4,0.3,91370
Power distributors and dispatchers,Production occupations,1.1,28.2,32.6,18.2,17.3,2.4,0.3,81500
Power plant operators,Production occupations,1.1,28.2,32.6,18.2,17.3,2.4,0.3,73800
Stationary engineers and boiler operators,Production occupations,6.5,39,30.7,10.9,10.1,2.1,0.7,61410
Water and wastewater treatment plant and system operators,Production occupations,3.4,40.2,31.5,11.6,11,2,0.3,47930
Chemical plant and system operators,Production occupations,6.1,40.3,30.4,13.3,9,0.9,0.1,59430
Gas plant operators,Production occupations,6.1,40.3,30.4,13.3,9,0.9,0.1,67980
"Petroleum pump system operators, refinery operators, and gaugers",Production occupations,6.1,40.3,30.4,13.3,9,0.9,0.1,67870
"Plant and system operators, all other",Production occupations,6.1,40.3,30.4,13.3,9,0.9,0.1,55340
Chemical equipment operators and tenders,Production occupations,6.7,31.9,27.2,7.8,21.3,4.3,0.8,50300
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",Production occupations,6.7,31.9,27.2,7.8,21.3,4.3,0.8,41450
"Crushing, grinding, and polishing machine setters, operators, and tenders",Production occupations,18.4,47.2,21.6,5.5,6.4,0.6,0.3,36050
"Grinding and polishing workers, hand",Production occupations,18.4,47.2,21.6,5.5,6.4,0.6,0.3,30860
"Mixing and blending machine setters, operators, and tenders",Production occupations,18.4,47.2,21.6,5.5,6.4,0.6,0.3,37630
"Cutters and trimmers, hand",Production occupations,31.3,44.3,16,5,2.5,0.9,0,29580
"Cutting and slicing machine setters, operators, and tenders",Production occupations,31.3,44.3,16,5,2.5,0.9,0,34000
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",Production occupations,15.1,57.7,19.2,4.6,3,0.5,0,34370
"Furnace, kiln, oven, drier, and kettle operators and tenders",Production occupations,23.4,39,22.7,6,7.6,1.1,0.3,37600
"Inspectors, testers, sorters, samplers, and weighers",Production occupations,10.2,35.7,26.5,10.7,13.4,3,0.5,40340
Jewelers and precious stone and metal workers,Production occupations,15.7,27,23.1,8.7,20.5,3.9,1.1,42310
Dental laboratory technicians,Production occupations,6.2,29.5,31.7,17.7,12.3,1.5,1,40760
Medical appliance technicians,Production occupations,6.2,29.5,31.7,17.7,12.3,1.5,1,39880
Ophthalmic laboratory technicians,Production occupations,6.2,29.5,31.7,17.7,12.3,1.5,1,34220
Packaging and filling machine operators and tenders,Production occupations,34.4,40.6,16.1,4.2,4.1,0.4,0.2,30910
"Coating, painting, and spraying machine setters, operators, and tenders",Production occupations,23.5,48.6,18.5,4.6,4.2,0.4,0.2,34460
"Painters, transportation equipment",Production occupations,23.5,48.6,18.5,4.6,4.2,0.4,0.2,46270
"Painting, coating, and decorating workers",Production occupations,23.5,48.6,18.5,4.6,4.2,0.4,0.2,32040
Semiconductor processors,Production occupations,19.4,46.4,20.7,6.6,5.7,0.9,0.2,37890
Photographic process workers and processing machine operators,Production occupations,6.1,25.9,21.6,10.4,30.4,4.7,0.9,31740
Adhesive bonding machine operators and tenders,Production occupations,21.6,49.2,21.5,2.2,4.9,0.5,0,34610
"Cleaning, washing, and metal pickling equipment operators and tenders",Production occupations,19.4,46.4,20.7,6.6,5.7,0.9,0.2,30590
Cooling and freezing equipment operators and tenders,Production occupations,19.4,46.4,20.7,6.6,5.7,0.9,0.2,32100
Etchers and engravers,Production occupations,12.8,36.3,25.3,8.7,13.6,2.2,1.2,34390
"Molders, shapers, and casters, except metal and plastic",Production occupations,18.5,39.9,19.9,5.3,11.2,4,1.3,32590
"Paper goods machine setters, operators, and tenders",Production occupations,21.8,50,17.2,7.2,3.3,0.5,0,38570
Tire builders,Production occupations,4.8,53.1,32.1,5.5,3.2,0.5,0.9,42230
Helpers--production workers,Production occupations,36.3,38.7,15.2,2.8,5.3,1.3,0.2,26930
"Production workers, all other",Production occupations,19.4,46.4,20.7,6.6,5.7,0.9,0.2,32380
Aircraft cargo handling supervisors,Transportation and material moving occupations,8.1,34.8,28.2,9.9,16.1,2.6,0.4,51900
"First-line supervisors of helpers, laborers, and material movers, hand",Transportation and material moving occupations,8.1,34.8,28.2,9.9,16.1,2.6,0.4,50160
First-line supervisors of transportation and material-moving machine and vehicle operators,Transportation and material moving occupations,8.1,34.8,28.2,9.9,16.1,2.6,0.4,59800
"Airline pilots, copilots, and flight engineers",Transportation and material moving occupations,0.3,4.9,12.9,8,59.5,12.5,1.9,152770
Commercial pilots,Transportation and material moving occupations,0.3,4.9,12.9,8,59.5,12.5,1.9,86260
Air traffic controllers,Transportation and material moving occupations,0.6,9.5,32.6,14.7,34.5,6.9,1.1,118200
Airfield operations specialists,Transportation and material moving occupations,0.6,9.5,32.6,14.7,34.5,6.9,1.1,52380
Flight attendants,Transportation and material moving occupations,1,13.8,32.2,12.5,35.1,4.1,1.3,51620
"Ambulance drivers and attendants, except emergency medical technicians",Transportation and material moving occupations,9.4,43.7,27.6,5.8,9.2,4.3,0,25600
"Bus drivers, transit and intercity",Transportation and material moving occupations,8.9,43.3,29,9.1,7.5,1.7,0.4,41780
"Bus drivers, school or special client",Transportation and material moving occupations,8.9,43.3,29,9.1,7.5,1.7,0.4,31110
Driver/sales workers,Transportation and material moving occupations,16.3,47.6,23.5,6.1,5.4,0.9,0.3,28440
Heavy and tractor-trailer truck drivers,Transportation and material moving occupations,16.3,47.6,23.5,6.1,5.4,0.9,0.3,43590
Light truck or delivery services drivers,Transportation and material moving occupations,16.3,47.6,23.5,6.1,5.4,0.9,0.3,34790
Taxi drivers and chauffeurs,Transportation and material moving occupations,13.5,34.4,25.3,7.7,14.4,3.9,0.8,26790
"Motor vehicle operators, all other",Transportation and material moving occupations,10.7,42.6,24.1,7.5,11.8,2.6,0.7,32930
Locomotive engineers,Transportation and material moving occupations,3.2,36.7,37.2,11,11.1,0.8,0,61020
Locomotive firers,Transportation and material moving occupations,3.2,36.7,37.2,11,11.1,0.8,0,63750
"Rail yard engineers, dinkey operators, and hostlers",Transportation and material moving occupations,3.2,36.7,37.2,11,11.1,0.8,0,52320
"Railroad brake, signal, and switch operators",Transportation and material moving occupations,6,38,34.5,10.7,7.9,2.2,0.7,55320
Railroad conductors and yardmasters,Transportation and material moving occupations,2.6,33.1,36.3,12.2,13.3,1.7,0.8,58220
Subway and streetcar operators,Transportation and material moving occupations,6,38,34.5,10.7,7.9,2.2,0.7,62380
"Rail transportation workers, all other",Transportation and material moving occupations,6,38,34.5,10.7,7.9,2.2,0.7,59480
Sailors and marine oilers,Transportation and material moving occupations,11.9,37.2,30.2,4.9,13.5,2.4,0,46170
"Captains, mates, and pilots of water vessels",Transportation and material moving occupations,8.7,31.7,26.1,7.7,20,4,1.7,81520
